"Occupation","Income","Satisfaction","Predicted","Difference","id"
"Clergy",20568,8.291,7.21932789006618,1.07167210993382,"_1"
"Chief executives and senior officials",117700,7.957,7.90470019674831,0.0522998032516897,"_2"
"Managers and proprietors in agriculture and horticulture",31721,7.946,7.36435966724147,0.58164033275853,"_3"
"Company secretaries",18176,7.93,7.18598141532528,0.744018584674721,"_4"
"Quality assurance and regulatory professionals",42898,7.891,7.49243824833477,0.398561751665225,"_5"
"Health care practice managers",31267,7.843,7.35879194111016,0.484208058889838,"_6"
"Medical practitioners",70648,7.836,7.73570246891275,0.100297531087248,"_7"
"Farmers",24520,7.808,7.27268770285767,0.535312297142332,"_8"
"Hotel and accommodation managers and proprietors",32470,7.795,7.37348285752645,0.421517142473554,"_9"
"Skilled metal, electrical and electronic trades supervisors",35316,7.795,7.4074407720715,0.387559227928499,"_10"
"Senior professionals of educational establishments",49495,7.789,7.5599227414664,0.229077258533604,"_11"
"Physiotherapists",27814,7.787,7.31551208288591,0.471487917114086,"_12"
"Primary and nursery education teaching professionals",29268,7.786,7.33393756572072,0.45206243427928,"_13"
"Electrical engineers",44439,7.739,7.50874099650533,0.230259003494674,"_14"
"Fitness instructors",10378,7.718,7.07177389955382,0.646226100446181,"_15"
"Therapy professionals",28524,7.714,7.3245459375883,0.389454062411701,"_16"
"School secretaries",15614,7.711,7.14938699787099,0.561613002129007,"_17"
"Information technology and telecommunications directors",64879,7.705,7.69390199607153,0.0110980039284687,"_18"
"Human resource managers and directors",54120,7.702,7.60364412470628,0.0983558752937244,"_19"
"Financial institution managers and directors",73911,7.701,7.75730646934373,-0.0563064693437285,"_20"
"Dental nurses",15024,7.699,7.14083106551022,0.558168934489783,"_21"
"Musicians",21492,7.696,7.23199726430018,0.464002735699821,"_22"
"Farm workers",17925,7.692,7.18243637467069,0.509563625329311,"_23"
"Marketing and sales directors",84377,7.688,7.81666097846195,-0.128660978461953,"_24"
"Functional managers and directors",53574,7.687,7.59863670395217,0.0883632960478282,"_25"
"Production managers and directors in manufacturing",51498,7.68,7.5792209521583,0.100779047841699,"_26"
"Research and development managers",49590,7.674,7.56085057250526,0.113149427494743,"_27"
"Midwives",30020,7.673,7.34335235586494,0.329647644135058,"_28"
"Pharmacists",36739,7.667,7.42399949561079,0.243000504389212,"_29"
"Advertising accounts managers and creative directors",37636,7.667,7.43429346656478,0.232706533435217,"_30"
"Dental practitioners",53567,7.663,7.59857223846718,0.0644277615328184,"_31"
"Sales accounts and business development managers",47862,7.641,7.54377860976105,0.0972213902389534,"_32"
"Travel agents",18344,7.64,7.18834932205386,0.451650677946141,"_33"
"Secondary education teaching professionals",33407,7.637,7.38478669664397,0.252213303356033,"_34"
"Business, research and administrative professionals",36012,7.636,7.41557477112306,0.220425228876937,"_35"
"Education advisers and school inspectors",34369,7.629,7.39626575769389,0.232734242306112,"_36"
"Financial managers and directors",76986,7.628,7.77631753139226,-0.14831753139226,"_37"
"Biological scientists and biochemists",37627,7.621,7.43419073543548,0.186809264564516,"_38"
"Natural and social science professionals",36574,7.617,7.42209383396961,0.194906166030387,"_39"
"Personal assistants and other secretaries",19569,7.616,7.2054972637618,0.410502736238199,"_40"
"Records clerks and assistants",19146,7.615,7.19959944242228,0.415400557577724,"_41"
"Authors, writers and translators",26207,7.602,7.29480746043632,0.307192539563681,"_42"
"Librarians",24584,7.6,7.27353404930781,0.326465950692185,"_43"
"Solicitors",44787,7.599,7.51237712866268,0.0866228713373172,"_44"
"Chartered and certified accountants",37850,7.597,7.4367328832775,0.1602671167225,"_45"
"Customer service managers and supervisors",28718,7.593,7.3270022110243,0.265997788975699,"_46"
"IT specialist managers",48384,7.59,7.54897931412126,0.0410206858787419,"_47"
"Leisure and sports managers",28619,7.59,7.32574940250663,0.26425059749337,"_48"
"Financial and accounting technicians",44038,7.587,7.50453030844644,0.0824696915535634,"_49"
"Teaching assistants",11796,7.587,7.09316739584353,0.493832604156474,"_50"
"Childminders and related occupations",12949,7.584,7.11035774792686,0.473642252073135,"_51"
"Finance and investment analysts and advisers",46797,7.579,7.53305105795233,0.0459489420476737,"_52"
"Business and financial project management professionals",50038,7.575,7.56520920015032,0.00979079984968489,"_53"
"Fire service officers (watch manager and below)",28183,7.574,7.32021584701865,0.253784152981346,"_54"
"Civil engineers",38236,7.574,7.4411169313509,0.1328830686491,"_55"
"Purchasing managers and directors",51806,7.572,7.58213918624826,-0.0101391862482565,"_56"
"Health professionals",30081,7.569,7.34411262491718,0.224887375082823,"_57"
"Train and tram drivers",45489,7.566,7.51966109476371,0.0463389052362899,"_58"
"Pharmaceutical technicians",20815,7.564,7.22272618438732,0.34127381561268,"_59"
"Air travel assistants",22001,7.556,7.23892593200476,0.317074067995238,"_60"
"Higher education teaching professionals",39076,7.556,7.45058610591208,0.105413894087918,"_61"
"Property, housing and estate managers",40209,7.552,7.46320358051939,0.0887964194806097,"_62"
"Health services and public health managers and directors",49015,7.549,7.55521566028962,-0.00621566028961773,"_63"
"Actuaries, economists and statisticians",61584,7.542,7.66796137460228,-0.125961374602283,"_64"
"Nurses",26158,7.534,7.29417053011155,0.239829469888455,"_65"
"Engineering professionals",41421,7.532,7.4765042162101,0.0554957837899037,"_66"
"Bank and post office clerks",19908,7.53,7.21020601695,0.319793983049998,"_67"
"Mechanical engineers",44176,7.528,7.5059818838642,0.0220181161358006,"_68"
"Production managers and directors in construction",47452,7.524,7.53966733153862,-0.0156673315386184,"_69"
"Management consultants and business analysts",42811,7.522,7.49150804867717,0.030491951322829,"_70"
"Counsellors",19220,7.51,7.20063299914321,0.309367000856787,"_71"
"Sports coaches, instructors and officials",11762,7.507,7.09265768989843,0.414342310101572,"_72"
"Hairdressing and beauty salon managers and proprietors",25011,7.506,7.27916626364997,0.22683373635003,"_73"
"Police officers (sergeant and below)",39346,7.501,7.45360903690614,0.0473909630938589,"_74"
"Garage managers and proprietors",38112,7.493,7.43971083171413,0.0532891682858745,"_75"
"Managers and directors in transport and distribution",40856,7.493,7.47032912525037,0.0226708747496254,"_76"
"Financial administrative occupations",18323,7.49,7.18805354726127,0.301946452738734,"_77"
"Playworkers",7400,7.489,7.02593892779133,0.463061072208673,"_78"
"Further education teaching professionals",28043,7.488,7.31843343886552,0.169566561134485,"_79"
"Social services managers and directors",39961,7.487,7.4604569507984,0.0265430492016039,"_80"
"Managers and proprietors in other services",36405,7.486,7.42013806972232,0.0658619302776824,"_81"
"IT project and programme managers",49128,7.486,7.55632665447702,-0.0703266544770154,"_82"
"Human resources and industrial relations officers",28999,7.483,7.33055077578515,0.152449224214852,"_83"
"Health associate professionals",21569,7.481,7.23304771355364,0.247952286446355,"_84"
"Design and development engineers",39890,7.474,7.45966905050643,0.0143309494935719,"_85"
